radius is 5.5 mm
    cutoff for TE0,1 mode is 33.240712241210936 GHz
    cutoff for TE1,2 mode is 47.107691980277764 GHz
    cutoff for TE1,3 mode is 75.42539217131815 GHz
    cutoff for TE1,4 mode is 103.4322033820864 GHz
    cutoff for TE2,1 mode is 26.98670107882867 GHz
    cutoff for TE2,2 mode is 59.25421509872588 GHz
    cutoff for TE2,3 mode is 88.08846673725952 GHz
    cutoff for TE2,4 mode is 116.371083758471 GHz
    cutoff for TE3,1 mode is 37.120967625075494 GHz
    cutoff for TE3,2 mode is 70.82122285915004 GHz
    cutoff for TE3,3 mode is 100.25059451374526 GHz
    cutoff for TE3,4 mode is 128.87799372954396 GHz
    cutoff for TE4,1 mode is 46.984965494236064 GHz
    cutoff for TE4,2 mode is 82.01762329974136 GHz
    cutoff for TE4,3 mode is 112.05511566287886 GHz
    cutoff for TE4,4 mode is 141.05604599337815 GHz
    cutoff for TE5,1 mode is 56.68725951359575 GHz
    cutoff for TE5,2 mode is 92.95164306677098 GHz
    cutoff for TE5,3 mode is 123.58834215192569 GHz
    cutoff for TE5,4 mode is 152.97323555112635 GHz
    cutoff for TE6,1 mode is 66.27987019824417 GHz
    cutoff for TE6,2 mode is 103.68783306222096 GHz
    cutoff for TE6,3 mode is 134.90696982417523 GHz
    cutoff for TE6,4 mode is 164.67717312063354 GHz
    cutoff for TE7,1 mode is 75.79225668747777 GHz
    cutoff for TE7,2 mode is 114.26829346256021 GHz
    cutoff for TE7,3 mode is 146.05057388500538 GHz
    cutoff for TE7,4 mode is 176.2027139388998 GHz
        cutoff for TE8,1 mode is 85.24292332852878 GHz
    cutoff for TE8,2 mode is 124.72224594689516 GHz
    cutoff for TE8,3 mode is 157.04805160620404 GHz
    cutoff for TE8,4 mode is 187.57626885388925 GHz
    cutoff for TE9,1 mode is 94.64434930261892 GHz
    cutoff for TE9,2 mode is 135.07092920282145 GHz
    cutoff for TE9,3 mode is 167.92125070514012 GHz
    cutoff for TE9,4 mode is 198.81840720644098 GHz
    cutoff for TE10,1 mode is 104.00539896590341 GHz
    cutoff for TE10,2 mode is 145.33033813195226 GHz
    cutoff for TE10,3 mode is 178.687153770745 GHz
    cutoff for TE10,4 mode is 209.94551222328826 GHz
radius is 5.3 mm
    cutoff for TE0,1 mode is 34.495078740879265 GHz
    cutoff for TE0,2 mode is 63.15808584235395 GHz
        cutoff for TE0,3 mode is 91.58703384750767 GHz
    cutoff for TE0,4 mode is 119.9470434412958 GHz
    cutoff for TE1,1 mode is 16.575327023331013 GHz
    cutoff for TE1,2 mode is 47.996516357264134 GHz
    cutoff for TE1,3 mode is 76.84851277832415 GHz
    cutoff for TE1,4 mode is 105.38375438929556 GHz
    cutoff for TE2,1 mode is 27.495884118051855 GHz
    cutoff for TE2,2 mode is 60.3722191571924 GHz
    cutoff for TE2,3 mode is 89.75051327947197 GHz
    cutoff for TE2,4 mode is 118.56676458410254 GHz
    cutoff for TE3,1 mode is 37.82136324064295 GHz
    cutoff for TE3,2 mode is 72.15747234705853 GHz
    cutoff for TE3,3 mode is 102.14211516494798 GHz
    cutoff for TE3,4 mode is 131.30965398859195 GHz
    cutoff for TE4,1 mode is 47.87147427714617 GHz
    cutoff for TE4,2 mode is 83.56512562615158 GHz
    cutoff for TE4,3 mode is 114.1693631282162 GHz
    cutoff for TE4,4 mode is 143.71748082344186 GHz
    cutoff for TE5,1 mode is 57.75683044781454 GHz
    cutoff for TE5,2 mode is 94.70544765293647 GHz
    cutoff for TE5,3 mode is 125.92019766422617 GHz
    cutoff for TE5,4 mode is 155.85952301435518 GHz
    cutoff for TE6,1 mode is 67.53043378689028 GHz
    cutoff for TE6,2 mode is 105.64420727094212 GHz
    cutoff for TE6,3 mode is 137.45238434915967 GHz
    cutoff for TE6,4 mode is 167.78428959460777 GHz
    cutoff for TE7,1 mode is 77.22229926648679 GHz
    cutoff for TE7,2 mode is 116.42429899958965 GHz
    cutoff for TE7,3 mode is 148.80624509038282 GHz
    cutoff for TE7,4 mode is 179.5272934471809 GHz
        cutoff for TE8,1 mode is 86.8512803724633 GHz
    cutoff for TE8,2 mode is 127.07549587042148 GHz
    cutoff for TE8,3 mode is 160.01122239122677 GHz
    cutoff for TE8,4 mode is 191.1154437379249 GHz
    cutoff for TE9,1 mode is 96.43009174229097 GHz
    cutoff for TE9,2 mode is 137.6194373009879 GHz
    cutoff for TE9,3 mode is 171.08957619014276 GHz
    cutoff for TE9,4 mode is 202.56969790844929 GHz
    cutoff for TE10,1 mode is 105.96776498412801 GHz
    cutoff for TE10,2 mode is 148.07241998349855 GHz
    cutoff for TE10,3 mode is 182.05860950226847 GHz
    cutoff for TE10,4 mode is 213.90674830297297 GHz
radius is 5.2 mm
    cutoff for TE0,1 mode is 35.15844563974234 GHz
    cutoff for TE0,2 mode is 64.37266441624539 GHz
        cutoff for TE0,3 mode is 93.34832295995976 GHz
    cutoff for TE0,4 mode is 122.25371735362845 GHz
    cutoff for TE1,1 mode is 16.89408331224123 GHz
    cutoff for TE1,2 mode is 48.91952628721153 GHz
    cutoff for TE1,3 mode is 78.32636879329193 GHz
    cutoff for TE1,4 mode is 107.4103650506282 GHz
    cutoff for TE2,1 mode is 28.024651120322087 GHz
    cutoff for TE2,2 mode is 61.533223371753806 GHz
    cutoff for TE2,3 mode is 91.4764846886926 GHz
    cutoff for TE2,4 mode is 120.84689467225837 GHz
    cutoff for TE3,1 mode is 38.54869714911687 GHz
    cutoff for TE3,2 mode is 73.54511604604045 GHz
    cutoff for TE3,3 mode is 104.10638661042778 GHz
    cutoff for TE3,4 mode is 133.83483964221875 GHz
    cutoff for TE4,1 mode is 48.792079551706685 GHz
    cutoff for TE4,2 mode is 85.17214727280835 GHz
    cutoff for TE4,3 mode is 116.36492780375883 GHz
    cutoff for TE4,4 mode is 146.48127853158502 GHz
    cutoff for TE5,1 mode is 58.867538725657134 GHz
    cutoff for TE5,2 mode is 96.52670626164682 GHz
    cutoff for TE5,3 mode is 128.34173992699976 GHz
    cutoff for TE5,4 mode is 158.856821533862 GHz
    cutoff for TE6,1 mode is 68.82909597509972 GHz
    cutoff for TE6,2 mode is 107.67582664153718 GHz
    cutoff for TE6,3 mode is 140.0956994327974 GHz
    cutoff for TE6,4 mode is 171.01091054835024 GHz
    cutoff for TE7,1 mode is 78.70734348315001 GHz
    cutoff for TE7,2 mode is 118.66322782650485 GHz
    cutoff for TE7,3 mode is 151.6679036498133 GHz
    cutoff for TE7,4 mode is 182.97974139808827 GHz
        cutoff for TE8,1 mode is 88.52149730270297 GHz
    cutoff for TE8,2 mode is 129.51925540639115 GHz
    cutoff for TE8,3 mode is 163.08836128336577 GHz
    cutoff for TE8,4 mode is 194.79074073288504 GHz
    cutoff for TE9,1 mode is 98.28451658348891 GHz
    cutoff for TE9,2 mode is 140.26596494139153 GHz
    cutoff for TE9,3 mode is 174.37976034764554 GHz
    cutoff for TE9,4 mode is 206.46526902207336 GHz
    cutoff for TE10,1 mode is 108.00560661843816 GHz
    cutoff for TE10,2 mode is 150.91996652164275 GHz
    cutoff for TE10,3 mode is 185.55973660808135 GHz
    cutoff for TE10,4 mode is 218.0203396164917 GHz
radius is 5.1000000000000005 mm
    cutoff for TE0,1 mode is 35.847826926796095 GHz
    cutoff for TE0,2 mode is 65.63487352244627 GHz
        cutoff for TE0,3 mode is 95.17868223368443 GHz
    cutoff for TE0,4 mode is 124.65084906644465 GHz
    cutoff for TE1,1 mode is 17.225339847775366 GHz
    cutoff for TE1,2 mode is 49.87873268499998 GHz
    cutoff for TE1,3 mode is 79.86217994610156 GHz
    cutoff for TE1,4 mode is 109.51645063985617 GHz
    cutoff for TE2,1 mode is 28.574154083465647 GHz
    cutoff for TE2,2 mode is 62.739757163356806 GHz
    cutoff for TE2,3 mode is 93.27014125121596 GHz
    cutoff for TE2,4 mode is 123.21644162661636 GHz
    cutoff for TE3,1 mode is 39.30455395596229 GHz
    cutoff for TE3,2 mode is 74.98717714498241 GHz
    cutoff for TE3,3 mode is 106.14768830867143 GHz
    cutoff for TE3,4 mode is 136.459052184223 GHz
    cutoff for TE4,1 mode is 49.748786993897006 GHz
    cutoff for TE4,2 mode is 86.84218937619673 GHz
    cutoff for TE4,3 mode is 118.64659305481291 GHz
    cutoff for TE4,4 mode is 149.35346046357685 GHz
    cutoff for TE5,1 mode is 60.02180419086609 GHz
    cutoff for TE5,2 mode is 98.41938677658104 GHz
    cutoff for TE5,3 mode is 130.8582446314507 GHz
    cutoff for TE5,4 mode is 161.97166117178085 GHz
    cutoff for TE6,1 mode is 70.17868609225853 GHz
    cutoff for TE6,2 mode is 109.78711735999867 GHz
    cutoff for TE6,3 mode is 142.84267393147968 GHz
    cutoff for TE6,4 mode is 174.3640656571414 GHz
    cutoff for TE7,1 mode is 80.25062472791764 GHz
    cutoff for TE7,2 mode is 120.98995778388728 GHz
    cutoff for TE7,3 mode is 154.6417841135351 GHz
    cutoff for TE7,4 mode is 186.5675794647174 GHz
        cutoff for TE8,1 mode is 90.25721293608929 GHz
    cutoff for TE8,2 mode is 132.0588486496537 GHz
    cutoff for TE8,3 mode is 166.28617228892193 GHz
    cutoff for TE8,4 mode is 198.6101670217651 GHz
    cutoff for TE9,1 mode is 100.21166396747886 GHz
    cutoff for TE9,2 mode is 143.016277979458 GHz
    cutoff for TE9,3 mode is 177.79897133485426 GHz
    cutoff for TE9,4 mode is 210.51360763034924 GHz
    cutoff for TE10,1 mode is 110.12336361095655 GHz
    cutoff for TE10,2 mode is 153.87918155147887 GHz
    cutoff for TE10,3 mode is 189.1981628160829 GHz
    cutoff for TE10,4 mode is 222.29524823642288 GHz
